date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:17	279687/279687	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:774e4781a44ce7e6eb48eeaba22b3100%22	https://6wripy-n1.myshopify.com/collections/frontpage	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/frontpage.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:18	539185/539185	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:e94d9eb72faa5b3bcb8d908b10980069%22	https://6wripy-n1.myshopify.com/collections/televisoes	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/televisoes.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:19	391779/391779	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7f28db53a3a9ac126dd3cbe88c558b48%22	https://6wripy-n1.myshopify.com/collections/ventiladores	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/ventiladores.html	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:19	5327/5327	---M--	200	added ('OK')	image/png	etag:%2214cf-qqXG/k04tnZuSA0g1f2lWHd02x8%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.34/mercadolibre/logo-anniversary-banner.png	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.34/mercadolibre/logo-anniversary-banner.png	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:20	3175/3175	---M--	200	added ('OK')	image/png	etag:%22c67-W2LpgcZ66njYI+LGFiFh0c9LoIQ%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.34/mercadolibre/logo_large_25years.png	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.34/mercadolibre/logo_large_25years.png	(from https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/search.css?v=161551949736958589601746116040)
02:16:20	906/906	---M--	200	added ('OK')	image/png	etag:%2238a-T+BOPR7uJTPdtp0Xv4bj4XGC2zM%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.34/mercadolibre/accessibility.png	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.34/mercadolibre/accessibility.png	(from https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/search.css?v=161551949736958589601746116040)
02:16:20	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2005:16:21%20GMT	https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/~@andes/button/index	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/shop/t/2/assets/_@andes/button/index	(from https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/search.css?v=161551949736958589601746116040)
02:16:21	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2005:16:21%20GMT	https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/~@andes/modal/index	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/shop/t/2/assets/_@andes/modal/index	(from https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/search.css?v=161551949736958589601746116040)
02:16:21	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2005:16:21%20GMT	https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/~@andes/modal/base	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/shop/t/2/assets/_@andes/modal/base	(from https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/search.css?v=161551949736958589601746116040)
02:16:21	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2005:16:21%20GMT	https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/~@andes/breadcrumb/index	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/shop/t/2/assets/_@andes/breadcrumb/index	(from https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/search.css?v=161551949736958589601746116040)
